SR,Calling_Number,Called_Number,Date,Time,Duration_sec,Call_Type,Caller_IMEI,Caller_IMSI,Caller_Operator,Tower_ID,Tower_Location,Tower_Latitude,Tower_Longitude
1,9900003333,8800007777,2024-03-01,00:29:33,0,SMS,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
2,8800004444,8800002222,2024-03-01,06:53:33,79,Voice,746065272935934,404110994067943,BSNL,KA-MYS-CHMD,Mysuru Chamundipuram,12.3051,76.6552
3,8800003333,8800004444,2024-03-01,07:13:10,115,Voice,387606570384453,404110994067943,Airtel,KA-BLR-WHIT,Bengaluru Whitefield,12.9698,77.7499
4,9900003333,8800002222,2024-03-01,07:17:05,185,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
5,9900003333,8800006666,2024-03-01,08:02:21,0,SMS,203113817728671,404503909744181,Airtel,KA-BLR-KORA,Bengaluru Koramangala,12.9352,77.6245
6,9900001111,8800007777,2024-03-01,09:15:26,171,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
7,8800002222,8800004444,2024-03-01,11:16:45,150,Voice,441480978621911,404110994067943,Airtel,KA-HUB-TOWN,Hubballi Old Town,15.3647,75.124
8,8800006666,8800007777,2024-03-01,11:37:12,83,Voice,517046593103155,404110994067943,Airtel,KA-BLR-BAND,Bengaluru Banaswadi,13.0143,77.6561
9,8800005555,8800007777,2024-03-01,14:47:46,192,Voice,544529763028279,404110994067943,BSNL,KA-BLR-KORA,Bengaluru Koramangala,12.9352,77.6245
10,9900002222,8800003333,2024-03-01,16:34:02,155,Voice,740865532228085,404503909744181,Airtel,KA-BLR-KORA,Bengaluru Koramangala,12.9352,77.6245
11,9900002222,8800004444,2024-03-01,16:52:18,350,Voice,740865532228085,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
12,9900003333,8800002222,2024-03-01,17:39:16,233,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
13,9900003333,8800007777,2024-03-01,18:30:13,365,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
14,9900001111,8800004444,2024-03-01,18:38:56,361,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
15,8800001111,8800008888,2024-03-01,21:54:58,68,Voice,767254256254973,404110994067943,Airtel,KA-MYS-CHMD,Mysuru Chamundipuram,12.3051,76.6552
16,9900001111,8800001111,2024-03-01,23:52:45,358,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
17,9900003333,8800001111,2024-03-02,03:09:53,181,Voice,203113817728671,404503909744181,Airtel,KA-HUB-TOWN,Hubballi Old Town,15.3647,75.124
18,9900001111,8800002222,2024-03-02,04:13:59,241,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
19,9900001111,8800006666,2024-03-02,05:46:15,109,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
20,9900001111,8800003333,2024-03-02,05:51:13,339,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
21,8800004444,8800006666,2024-03-02,05:56:26,173,Voice,746065272935934,404110994067943,BSNL,KA-BLR-BAND,Bengaluru Banaswadi,13.0143,77.6561
22,8800005555,8800006666,2024-03-02,06:10:18,97,Voice,544529763028279,404110994067943,BSNL,KA-BLR-WHIT,Bengaluru Whitefield,12.9698,77.7499
23,8800003333,8800004444,2024-03-02,13:07:16,108,Voice,387606570384453,404110994067943,Airtel,KA-BLR-KORA,Bengaluru Koramangala,12.9352,77.6245
24,8800006666,8800007777,2024-03-02,14:06:14,97,Voice,517046593103155,404110994067943,Airtel,KA-MYS-CHMD,Mysuru Chamundipuram,12.3051,76.6552
25,9900003333,8800008888,2024-03-02,17:36:51,186,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
26,9900001111,8800002222,2024-03-02,20:31:05,465,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
27,8800007777,8800005555,2024-03-02,21:01:00,71,Voice,790417981433454,404110994067943,Airtel,KA-BLR-WHIT,Bengaluru Whitefield,12.9698,77.7499
28,9900003333,8800008888,2024-03-02,21:05:16,171,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
29,8800006666,8800003333,2024-03-02,21:56:49,169,Voice,517046593103155,404110994067943,Airtel,KA-BLR-ELEC,Bengaluru Electronics City,12.8418,77.6604
30,9900003333,8800002222,2024-03-03,01:50:51,185,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
31,9900001111,8800007777,2024-03-03,05:26:41,187,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
32,9900001111,8800004444,2024-03-03,07:48:16,289,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
33,9900003333,8800006666,2024-03-03,08:00:29,83,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
34,8800005555,8800008888,2024-03-03,13:21:01,117,Voice,544529763028279,404110994067943,BSNL,KA-MYS-CHMD,Mysuru Chamundipuram,12.3051,76.6552
35,9900003333,8800007777,2024-03-03,13:41:26,433,Voice,203113817728671,404503909744181,Airtel,KA-HUB-TOWN,Hubballi Old Town,15.3647,75.124
36,9900001111,8800006666,2024-03-03,13:55:55,262,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
37,9900003333,8800004444,2024-03-03,16:08:34,422,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
38,9900003333,8800007777,2024-03-03,16:12:28,202,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
39,9900003333,8800001111,2024-03-03,18:41:02,76,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
40,9900001111,8800002222,2024-03-03,20:30:29,351,Voice,533748079019981,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
41,9900003333,8800008888,2024-03-03,22:46:41,268,Voice,203113817728671,404503909744181,Airtel,KA-HUB-TOWN,Hubballi Old Town,15.3647,75.124
42,8800007777,8800008888,2024-03-04,00:17:02,70,Voice,790417981433454,404110994067943,Airtel,KA-BLR-BAND,Bengaluru Banaswadi,13.0143,77.6561
43,9900002222,8800004444,2024-03-04,02:11:35,0,SMS,740865532228085,404503909744181,Airtel,KA-BLR-KORA,Bengaluru Koramangala,12.9352,77.6245
44,9900003333,8800006666,2024-03-04,03:57:12,426,Voice,203113817728671,404503909744181,Airtel,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
45,8800004444,8800006666,2024-03-04,04:53:27,155,Voice,746065272935934,404110994067943,BSNL,KA-BLR-YESH,Bengaluru Yeshwanthpur,13.0291,77.5478
