SR,Calling_Number,Called_Number,Date,Time,Duration_sec,Call_Type,Caller_IMEI,Caller_IMSI,Caller_Operator,Tower_ID,Tower_Location,Tower_Latitude,Tower_Longitude
1,7863794026,6043321819,2024-01-01,08:15:43,794,Voice,627048281489325,404208809570154,Airtel,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
2,8423511615,7164752553,2024-01-01,10:22:09,939,Data,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
3,7863794026,8959310341,2024-01-01,14:13:39,895,Voice,627048281489325,404208809570154,Airtel,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
4,7863794026,6043321819,2024-01-01,21:35:38,586,Voice,627048281489325,404208809570154,Airtel,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
5,7863794026,9001338908,2024-01-01,21:42:23,0,SMS,627048281489325,404208809570154,Airtel,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
6,7863794026,7164752553,2024-01-02,04:45:20,428,Voice,627048281489325,404208809570154,Airtel,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
7,6043321819,9001338908,2024-01-02,08:08:27,225,Voice,835030564139537,404507242388496,BSNL,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
8,9001338908,8940781618,2024-01-02,08:58:05,2247,Data,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
9,8423511615,8192832764,2024-01-02,12:39:27,549,Voice,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
10,6043321819,8192832764,2024-01-02,13:56:17,883,Voice,835030564139537,404507242388496,BSNL,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
11,6043321819,8423511615,2024-01-02,20:07:38,0,SMS,835030564139537,404507242388496,BSNL,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
12,7863794026,8940781618,2024-01-03,03:07:22,1681,Data,627048281489325,404208809570154,Airtel,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
13,7863794026,8192832764,2024-01-03,06:00:16,407,Voice,627048281489325,404208809570154,Airtel,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
14,9001338908,7863794026,2024-01-03,08:54:55,255,Voice,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
15,9001338908,8959310341,2024-01-03,09:14:06,0,SMS,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
16,9001338908,7164752553,2024-01-03,09:45:23,759,Voice,532871012269166,404707848018451,Vi,KA-BLG-01,Belagavi Tilakwadi,15.8497,74.4977
17,8423511615,9001338908,2024-01-03,13:11:40,367,Voice,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
18,9001338908,8192832764,2024-01-03,13:14:46,572,Voice,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
19,8423511615,8959310341,2024-01-03,16:18:50,272,Voice,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
20,6043321819,8940781618,2024-01-03,19:27:56,284,Voice,835030564139537,404507242388496,BSNL,KA-HUB-01,Hubballi Old Town,15.3647,75.124
21,8423511615,7164752553,2024-01-03,20:01:22,2575,Data,039117182278248,404706383465787,Jio,KA-SHV-01,Shivamogga Kuvempu Nagar,13.9299,75.5681
22,8423511615,8940781618,2024-01-04,04:14:04,1577,Data,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
23,8423511615,8940781618,2024-01-04,13:19:57,842,Data,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
24,9001338908,8192832764,2024-01-04,14:10:42,211,Voice,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
25,9001338908,7863794026,2024-01-04,17:15:10,854,Voice,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
26,9001338908,8192832764,2024-01-05,05:48:38,0,SMS,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
27,9001338908,8940781618,2024-01-05,07:25:41,1846,Data,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
28,6043321819,8940781618,2024-01-05,08:07:08,531,Data,835030564139537,404507242388496,BSNL,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
29,8423511615,8959310341,2024-01-05,09:25:20,0,SMS,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
30,8423511615,7863794026,2024-01-05,21:10:18,393,Voice,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
31,9001338908,8423511615,2024-01-05,22:17:31,2235,Data,532871012269166,404707848018451,Vi,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
32,6043321819,8959310341,2024-01-06,05:07:18,452,Voice,835030564139537,404507242388496,BSNL,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
33,8423511615,7164752553,2024-01-06,06:18:16,535,Voice,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
34,8423511615,8959310341,2024-01-06,20:51:32,0,SMS,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
35,8423511615,7863794026,2024-01-07,00:10:34,0,SMS,039117182278248,404706383465787,Jio,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
36,6043321819,7863794026,2024-01-07,12:39:54,802,Voice,835030564139537,404507242388496,BSNL,KA-KLB-01,Kalaburagi Aland Road,17.3297,76.82
