SR,Calling_Number,Called_Number,Date,Time,Duration_sec,Call_Type,Caller_IMEI,Caller_IMSI,Caller_Operator,Tower_ID,Tower_Location,Tower_Latitude,Tower_Longitude
1,7863794026,6043321819,2024-01-01,08:15:43,794,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
2,8423511615,7164752553,2024-01-01,10:22:09,939,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
3,7863794026,8959310341,2024-01-01,14:13:39,895,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
4,8423511615,6043321819,2024-01-01,18:47:13,1467,Data,039117182278248,404706383465787,Jio,TN-CBE-01,Coimbatore RS Puram,11.0064,76.962
5,7863794026,9001338908,2024-01-01,21:42:23,0,SMS,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
6,7863794026,7164752553,2024-01-02,04:45:20,428,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
7,6043321819,9001338908,2024-01-02,08:08:27,225,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
8,9001338908,8940781618,2024-01-02,08:58:05,2247,Data,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
9,8423511615,8192832764,2024-01-02,12:39:27,549,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
10,6043321819,8192832764,2024-01-02,13:56:17,883,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
11,6043321819,8423511615,2024-01-02,20:07:38,0,SMS,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
12,7863794026,8940781618,2024-01-03,03:07:22,1681,Data,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
13,7863794026,8192832764,2024-01-03,06:00:16,407,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
14,9001338908,7863794026,2024-01-03,08:54:55,255,Voice,532871012269166,404707848018451,Vi,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
15,9001338908,8959310341,2024-01-03,09:14:06,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
16,9001338908,7164752553,2024-01-03,09:45:23,759,Voice,532871012269166,404707848018451,Vi,KA-UDU-01,Udupi MIT Road,13.3409,74.7421
17,8423511615,9001338908,2024-01-03,13:11:40,367,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
18,8423511615,8959310341,2024-01-03,16:18:50,272,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
19,6043321819,8940781618,2024-01-03,19:27:56,284,Voice,835030564139537,404507242388496,BSNL,DL-NDL-02,Delhi Rohini,28.7041,77.1025
20,8423511615,7164752553,2024-01-03,20:01:22,2575,Data,039117182278248,404706383465787,Jio,RJ-JDH-01,Jodhpur Shastri Nagar,26.2389,73.0243
21,6043321819,8192832764,2024-01-04,01:56:51,423,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
22,8423511615,8940781618,2024-01-04,04:14:04,1577,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
23,8423511615,8940781618,2024-01-04,13:19:57,842,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
24,9001338908,8192832764,2024-01-04,14:10:42,211,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
25,9001338908,7863794026,2024-01-04,17:15:10,854,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
26,9001338908,8192832764,2024-01-05,05:48:38,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
27,9001338908,8940781618,2024-01-05,07:25:41,1846,Data,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
28,6043321819,8940781618,2024-01-05,08:07:08,531,Data,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
29,8423511615,8959310341,2024-01-05,09:25:20,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
30,8423511615,7863794026,2024-01-05,21:10:18,393,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
31,9001338908,8423511615,2024-01-05,22:17:31,2235,Data,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
32,6043321819,8959310341,2024-01-06,05:07:18,452,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
33,8423511615,7164752553,2024-01-06,06:18:16,535,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
34,8423511615,8959310341,2024-01-06,20:51:32,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
35,8423511615,7863794026,2024-01-07,00:10:34,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
